iter	Passed	Remaining
555	63715	50880
556	63768	50717
557	63840	50569
558	63903	50414
559	63977	50267
560	64046	50117
561	64123	49975
562	64206	49837
563	64267	49682
564	64348	49542
565	64403	49383
566	64466	49231
567	64527	49077
568	64609	48939
569	64684	48797
570	64760	48655
571	64828	48508
572	64900	48363
573	64976	48223
574	65037	48071
575	65103	47923
576	65171	47777
577	65232	47626
578	65312	47489
579	65381	47345
580	65444	47196
581	65513	47052
582	65624	46939
583	65694	46796
584	65768	46656
585	65830	46508
586	65909	46372
587	65968	46222
588	66038	46081
589	66105	45937
590	66197	45811
591	66480	45817
592	66631	45731
593	66705	45593
594	66770	45448
595	66901	45349
596	67233	45385
597	67293	45237
598	67385	45111
599	67469	44979
600	67530	44832
601	67644	44721
602	67737	44596
603	67858	44489
604	68104	44465
605	68242	44368
606	68344	44249
607	68427	44117
608	68507	43984
609	68681	43910
610	68730	43757
611	70434	44654
612	71271	44995
613	71628	45030
614	71843	44974
615	71926	44837
616	71989	44687
617	72075	44551
618	72239	44464
619	72340	44337
620	72401	44187
621	72471	44042
622	72516	43882
623	72653	43778
624	72736	43641
625	72807	43498
626	72870	43350
627	72928	43199
628	72988	43050
629	73055	42905
630	73080	42736
631	73196	42620
632	73292	42493
633	73369	42355
634	73476	42234
635	73593	42119
636	73659	41975
637	73720	41828
638	73776	41679
639	73839	41534
640	73899	41388
641	73971	41248
642	74022	41098
643	74095	40959
644	74171	40822
645	74272	40700
646	74338	40558
647	74397	40413
648	74465	40273
649	74552	40143
650	74609	39997
651	74697	39869
652	74771	39733
653	74842	39595
654	74918	39461
655	74970	39313
656	75048	39180
657	75122	39045
658	75207	38916
659	75300	38791
660	75364	38651
661	75444	38519
662	75524	38388
663	75592	38251
664	75674	38121
665	75739	37983
666	75807	37847
667	75887	37716
668	75950	37578
669	76019	37442
670	76099	37312
671	76159	37173
672	76229	37038
673	76285	36897
674	76355	36763
675	76456	36644
676	76575	36534
677	76652	36404
678	76713	36266
679	76779	36131
680	76847	35997
681	76933	35872
682	77012	35743
683	77133	35634
684	77208	35504
685	77267	35367
686	77336	35234
687	77407	35103
688	77544	35001
689	77618	34872
690	77692	34742
691	77763	34611
692	77832	34479
693	77895	34345
694	77961	34213
695	78145	34132
696	78241	34012
697	78302	33878
698	78388	33755
699	78499	33642
700	78661	33551
701	78741	33425
702	78852	33313
703	78907	33176
704	78985	33050
705	79058	32922
706	79199	32822
707	79269	32692
708	79344	32566
709	79404	32432
710	79476	32304
711	79536	32172
712	79598	32040
713	79669	31912
714	79781	31800
715	79876	31682
716	79947	31555
717	80034	31433
718	80105	31306
719	80178	31180
720	80253	31055
721	80322	30927
722	80395	30801
723	80478	30679
724	80639	30587
725	80755	30478
726	80817	30348
727	80929	30237
728	81022	30119
729	81106	29998
730	81238	29895
731	81432	29814
732	81492	29684
733	81566	29559
734	81626	29429
735	81708	29308
736	81793	29188
737	81919	29082
738	81991	28957
739	82025	28819
740	82112	28700
741	82175	28573
742	82248	28449
743	82327	28327
744	82400	28204
745	82463	28077
746	82537	27954
747	82595	27826
748	82667	27703
749	82728	27576
750	82793	27450
751	82866	27328
752	82949	27209
753	83033	27090
754	83093	26964
755	83169	26842
756	83238	26719
757	83303	26595
758	83359	26468
759	83498	26367
760	83562	26243
761	83620	26117
762	83676	25991
763	83789	25882
764	83892	25771
765	83971	25651
766	84067	25537
767	84216	25440
768	84353	25338
769	84442	25223
770	84503	25099
771	84579	24979
772	84637	24854
773	84703	24732
774	84765	24609
775	84835	24488
776	84914	24370
777	84972	24246
778	85036	24124
779	85098	24002
780	85167	23881
781	85232	23760
782	85304	23641
783	85359	23517
784	85421	23395
785	85481	23273
786	85544	23152
787	85609	23032
788	85690	22916
789	85758	22796
790	85842	22681
791	85900	22559
792	85984	22444
793	86064	22329
794	86168	22219
795	86256	22106
796	86343	21992
797	86413	21874
798	86478	21754
799	86556	21639
800	86624	21521
801	86698	21404
802	86759	21284
803	86828	21167
804	86929	21057
805	87009	20942
806	87071	20823
807	87143	20707
808	87223	20593
809	87294	20476
810	87321	20349
811	87391	20233
812	87464	20117
813	87541	20003
814	87604	19885
815	87673	19769
816	87747	19654
817	88030	19586
818	88095	19469
819	88172	19354
820	88239	19238
821	88310	19123
822	88367	19004
823	88433	18888
824	88509	18774
825	88573	18658
826	88648	18544
827	88710	18427
828	88785	18313
829	88858	18199
830	88916	18082
831	89010	17973
832	89102	17863
833	89213	17757
834	89331	17652
835	89425	17542
836	89484	17426
